"","X.6","X.5","X.4","X.3","X.2","X.1","X","tag","table","OBJECTID","quadrat","StemTag","lx","ly","dbh_previous","hom","codes_previous","status_previous","status_2022","comment_2022","mortality","census_status","dbh_current","status_current","codes_current","code_choices","notes_current","DBH.check","living_status","crown_position","crown_intact","crown_living","fad","fad_choices","liana_load","lean_angle","wounded_main_stem","rotting_trunk","canker_swelling_deformity","dead_with_resprout","crown_check","GlobalID","CreationDate","Creator","EditDate","Editor","species","dbh_previous_mm","numeric_tag","hom_alert","lean_direction","comment_mortality","sp","tree_type","NAD83_X","NAD83_Y","personnel_list","personnel","date_measured","multi.stemmed","x","y","gx","gy","dbh_if_dead","mort_status","ExactDate"
"11",11,11,11,11,11,11,11,10016,"old_trees",167,102,1,5.8,2.8,257,1.3,"NULL","A","A","",1,1,284,"AU","","","","","AU",3,95,85,"LF","LF",1,NA,NA,NA,NA,NA,NA,"2a3b0879-f913-4574-8209-2391337544e8","3/30/2023 4:12:53 PM","shuej21","8/28/2023 2:25:29 PM","shuej21","ceoc",257,NA,NA,NA,"; Leaves all spotty","ceoc","1",747390.790477594,4308529.36628877,"IK","RH,CT,IK","8/28/2023 2:25:16 PM",0,-78.1476518326553,38.8908248430619,5.79997943237188,22.7963657696899,NA,"AU",2023-08-28
"12",12,12,12,12,12,12,12,100168,"old_trees",176,1002,1,17.5,7.1,574,1.3,"F","A","AU","",1,1,578,"AU","RT","RT","","","AU",3,60,60,"DF","DF",3,NA,NA,NA,NA,NA,NA,"0e619252-339e-4400-a5a1-9a57f71449c5","3/30/2023 4:12:53 PM","shuej21","10/10/2023 6:59:49 PM","shuej21","quve",574,NA,NA,NA,"","quve","1",747582.336774016,4308538.2124108,"EM","EM","10/10/2023 6:59:47 PM",0,-78.1454427179501,38.8908505112231,197.49994689114,27.0806932416439,NA,"AU",2023-10-10
"13",13,13,13,13,13,13,13,10021,"old_trees",222,102,1,5.1,10.1,206,1.3,"NULL","A","DS","Lilac ash borer",1,1,206,"DS","","","","","",2,65,0,"I","I",0,NA,NA,NA,NA,0,NA,"dfa482c1-0fa0-46f1-b416-03393648cfad","3/30/2023 4:12:53 PM","shuej21","8/28/2023 3:00:50 PM","shuej21","fram",206,NA,NA,NA,"","fram","1",747389.921273738,4308536.64808261,"IK","CT,RH,IK","8/28/2023 3:00:12 PM",0,-78.1476592194954,38.8908906263598,5.09994197476,30.0967857822487,206,"",2023-08-28
"14",14,14,14,14,14,14,14,100239,"old_trees",254,1001,1,7.1,10.6,100,1.3,"F;L","A","A","",1,1,108,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"14908b88-cb06-40b4-b989-ee7ff9e8e8e9","3/30/2023 4:12:53 PM","shuej21","10/23/2023 7:08:23 PM","shuej21","cofl",100,NA,NA,NA,"","cofl","1",747572.322418499,4308521.47563179,"CP","CP","10/23/2023 7:08:21 PM",0,-78.1455640812151,38.8907026965121,187.100005213469,10.5870231999794,NA,"A",2023-10-23
"15",15,15,15,15,15,15,15,10035,"old_trees",372,103,1,4.8,10.1,505,1.3,"NULL","A","A","",1,1,530,"A","L","L","","","A",4,95,92,"","",0,17,NA,NA,NA,NA,NA,"f1b1a810-21aa-4016-adb0-9aa393132f3b","3/30/2023 4:12:53 PM","shuej21","8/31/2023 3:26:32 PM","shuej21","acru",505,NA,NA,10,"; 10 degrees north lean","acru","1",747389.157416129,4308556.63576373,"IK","IK","8/31/2023 3:26:31 PM",0,-78.1476608157898,38.8910707372267,4.79998999845095,50.0969857305317,NA,"A",2023-08-31
"16",16,16,16,16,16,16,16,100366,"old_trees",390,1002,1,2.2,12.1,416,1.3,"F","A","A","",1,1,432,"A","DV","DV","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"985e6e07-16e5-4b6b-9a97-b577457de865","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:17:37 PM","shuej21","cagl",416,NA,NA,NA,"","cagl","1",747566.924882506,4308542.85612148,"EM","EM","10/10/2023 7:17:32 PM",0,-78.1456185334652,38.8908966484659,182.199934134448,32.089930417788,NA,"A",2023-10-10
"17",17,17,17,17,17,17,17,100430,"old_trees",460,1002,1,11.4,18.5,189,1.3,"F","A","AU","",1,1,188,"DS","I","I","","","",1,0,0,"B","B",NA,NA,NA,NA,NA,NA,NA,"e6e3d397-5955-4501-9abc-760dfbfbaef2","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:24:36 PM","shuej21","saal",189,NA,NA,NA,"","saal","1",747575.973970523,4308549.46791728,"EM","EM","10/10/2023 7:24:30 PM",0,-78.1455119367081,38.8909536071337,191.399975662517,38.4844616896247,188,"",2023-10-10
"18",18,18,18,18,18,18,18,10045,"old_trees",481,104,1,0.6,1.2,335,1.3,"I","A","AU","",1,1,324,"AU","DV","DV","Measured on old paint checked dbh twice","DBH decreased more than expected (-11), check measurement","AU",3,95,90,"K","K",1,NA,NA,NA,2,NA,NA,"c71de7ce-5b5f-422c-9f1b-72fcb80cda13","3/30/2023 4:12:53 PM","shuej21","9/5/2023 2:37:49 PM","shuej21","cato",335,NA,NA,NA,"Measured on old paint checked dbh twice; ","cato","1",747384.701037125,4308567.63528868,"IK","IK","9/5/2023 2:37:47 PM",0,-78.1477081749506,38.8911709912907,0.599991573795904,61.1994674302382,NA,"AU",2023-09-05
"19",19,19,19,19,19,19,19,100456,"old_trees",488,1003,1,14.3,1.9,141,1.15,"A;I;F","A","","stem not sampled, info automatically filled from previous year info",1,1,0,"DC","","","","","",NA,NA,NA,"U","U",NA,NA,NA,NA,NA,NA,NA,"4537989e-12d8-4c01-b629-4f603507f75a","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:28:52 PM","shuej21","ulru",141,NA,NA,NA,"","ulru","1",747578.794310894,4308552.93421869,"EM","EM","10/10/2023 7:28:51 PM",0,-78.1454782067743,38.8909840102898,194.299972706087,41.8826497637465,0,"",2023-10-10
"20",20,20,20,20,20,20,20,100498,"old_trees",532,1003,1,16.7,14.1,152,1.3,"F","A","A","",1,1,163,"A","","","","","A",1,100,100,"","",NA,NA,NA,NA,NA,NA,NA,"00413f1d-47cf-4762-b1b7-2c359d852516","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:56:40 PM","shuej21","caco",152,NA,NA,NA,"","caco","1",747580.910733623,4308565.18656133,"EM","EM","10/10/2023 7:56:38 PM",0,-78.1454494157714,38.8910936889257,196.700071494169,54.0811448243316,NA,"A",2023-10-10
"21",21,21,21,21,21,21,21,100503,"old_trees",538,1003,1,19.6,19.9,112,1.3,"F","A","A","",1,1,118,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"381a762e-bf4b-46c9-abd6-4363bb1ab89c","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:18:54 PM","shuej21","cato",112,NA,NA,NA,"","cato","1",747583.675292856,4308571.05229581,"IK","IK","10/11/2023 7:18:53 PM",0,-78.1454154630541,38.8911457034331,199.599967561154,59.8794138904208,NA,"A",2023-10-11
"22",22,22,22,22,22,22,22,100509,"old_trees",544,1003,1,9,17.6,492,1.3,"F","A","AU","",1,1,503,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"94855b5c-5ada-48d4-8534-09319d364b05","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:51:17 PM","shuej21","litu",492,NA,NA,NA,"","litu","1",747573.131467633,4308568.50700993,"EM","EM","10/10/2023 7:51:16 PM",0,-78.1455378081693,38.8911257658991,188.999931270943,57.5858189568339,NA,"A",2023-10-10
"23",23,23,23,23,23,23,23,100516,"old_trees",552,1004,1,17.9,2.2,1060,1.3,"F;I","A","A","",1,1,1089,"A","BT","BT","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"1176597d-aad3-4511-879f-9c1cab12a4b4","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:17:10 PM","shuej21","litu",1060,NA,NA,NA,"","litu","1",747581.922411749,4308573.31229381,"IK","IK","10/11/2023 7:17:09 PM",0,-78.1454348352159,38.8911665380334,197.89998857702,62.180494608308,NA,"A",2023-10-11
"24",24,24,24,24,24,24,24,10053,"old_trees",567,104,1,4.8,1.2,171,1.3,"NULL","A","AU","",1,1,181,"AU","","","","","AU",3,90,85,"K","K",0,NA,NA,NA,1,NA,NA,"aae241f1-e4b5-4913-bf35-ad1c42c6de59","3/30/2023 4:12:53 PM","shuej21","9/5/2023 2:27:14 PM","shuej21","acru",171,NA,NA,NA,"; It looks like the main stem may have previously broken and a new stem grew from the break","acru","1",747388.899908166,4308567.7327647,"IK","IK","9/5/2023 2:27:12 PM",0,-78.1476597836195,38.8911706864401,4.79999390575447,61.1969720394923,NA,"AU",2023-09-05
"25",25,25,25,25,25,25,25,100540,"old_trees",578,1004,1,11.1,8.2,483,1.3,"F;I","A","AU","",1,1,489,"AU","","","","","AU",3,100,100,"W,K","K",0,NA,1,NA,1,NA,NA,"0b458d0f-1439-48d6-862e-7d9c36b9787a","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:48:58 PM","shuej21","quru",483,NA,NA,NA,"","quru","1",747574.985080814,4308579.15287617,"IK","IK","10/11/2023 6:48:57 PM",0,-78.1455126230038,38.8912210598011,191.100022129362,68.1845483007197,NA,"AU",2023-10-11
"26",26,26,26,26,26,26,26,100542,"old_trees",580,1004,1,14.8,7,105,1.3,"F","A","A","",1,1,112,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"f7bc2411-ef51-451c-ab45-4cde33e053a1","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:14:35 PM","shuej21","cato",105,NA,NA,NA,"","cato","1",747578.711892876,4308578.03908578,"IK","IK","10/11/2023 7:14:34 PM",0,-78.1454701048569,38.8912099852661,194.799992009575,66.9823658813568,NA,"A",2023-10-11
"27",27,27,27,27,27,27,27,100550,"old_trees",589,1004,1,19.7,14.6,147,1.3,"F","A","A","",1,1,152,"A","","","","","A",2,100,98,"","",0,NA,NA,NA,NA,NA,NA,"fc2d30bd-d355-4b8b-a38f-cf12ee7ccb03","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:42:23 PM","shuej21","caco",147,NA,NA,NA,"","caco","1",747583.434326011,4308585.75069403,"IK","IK","10/11/2023 6:42:22 PM",0,-78.1454129387806,38.8912780615591,199.700058000254,74.5793833749572,NA,"A",2023-10-11
"28",28,28,28,28,28,28,28,100551,"old_trees",590,1004,1,16.6,11.2,410,1.3,"F","A","A","",1,1,419,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"c5af9b06-102e-4432-bb65-df57eb502dd5","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:44:51 PM","shuej21","quve",410,NA,NA,NA,"","quve","1",747580.413992996,4308582.27969638,"IK","IK","10/11/2023 6:44:49 PM",0,-78.1454489737906,38.8912476725128,196.60001318947,71.1812607207124,NA,"A",2023-10-11
"29",29,29,29,29,29,29,29,100552,"old_trees",591,1004,1,13.8,11.9,458,1.3,"F","A","DS","",1,1,0,"DS","","","","","",2,75,0,"","",0,NA,NA,NA,NA,0,NA,"662cb1dc-a44b-4894-8194-8d9842865800","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:46:28 PM","shuej21","quru",458,NA,NA,NA,"","quru","1",747577.598505793,4308582.91449583,"IK","IK","10/11/2023 6:46:26 PM",0,-78.1454811694,38.89125417921,193.800010643675,71.8828960646386,0,"",2023-10-11
"30",30,30,30,30,30,30,30,100561,"old_trees",601,1004,1,9.8,18.3,106,1.3,"F","A","A","",1,1,111,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"1781531e-e814-4886-b46e-db3f9d75fd86","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:59:23 PM","shuej21","litu",106,NA,NA,NA,"","litu","1",747573.451136753,4308589.21996461,"IK","IK","10/11/2023 6:59:22 PM",0,-78.14552665917,38.8913120989874,189.800040237493,78.2852962988535,NA,"A",2023-10-11
"31",31,31,31,31,31,31,31,100562,"old_trees",602,1004,1,9.1,19.1,649,1.3,"F","A","A","",1,1,669,"A","","","","","A",3,100,97,"","",0,NA,NA,NA,NA,NA,NA,"37307d67-f412-4c42-9fce-c344edd707db","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:01:42 PM","shuej21","litu",649,NA,NA,NA,"","litu","1",747572.732693696,4308590.00361474,"IK","IK","10/11/2023 7:01:41 PM",0,-78.1455346505798,38.8913193545134,189.099970669916,79.0858251719838,NA,"A",2023-10-11
"32",32,32,32,32,32,32,32,100576,"old_trees",617,1005,1,11.5,1.3,118,1.3,"F","A","A","",1,1,127,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"fb639b13-10a7-456d-9a37-79efc7c92612","3/30/2023 4:12:53 PM","shuej21","11/7/2023 4:27:35 PM","shuej21","cagl",118,NA,NA,NA,"","cagl","1",747575.12036933,4308592.31531172,"IK","IK","11/7/2023 4:27:25 PM",0,-78.1455063195199,38.8913394877706,191.540633417902,81.3400344593767,NA,"A",2023-11-06
"33",33,33,33,33,33,33,33,100601,"old_trees",645,1003,1,2.8,2,120,1.3,"F","A","A","",1,1,132,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"278613b1-2949-431f-88cf-52d1d5683729","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:40:30 PM","shuej21","cato",120,NA,NA,NA,"","cato","1",747567.295118304,4308552.76736499,"EM","EM","10/10/2023 7:40:29 PM",0,-78.1456106965595,38.8909857484968,182.800004118144,41.9895533187136,NA,"A",2023-10-10
"34",34,34,34,34,34,34,34,100603,"old_trees",647,1003,1,6.3,0.8,119,1.3,"F","A","A","",1,1,129,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"2f25b9b7-ca13-41f3-b296-92df7267bcee","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:39:18 PM","shuej21","cato",119,NA,NA,NA,"","cato","1",747570.822010897,4308551.64886138,"EM","EM","10/10/2023 7:39:16 PM",0,-78.1455704825906,38.890974687909,186.299998992263,40.7874176033524,NA,"A",2023-10-10
"35",35,35,35,35,35,35,35,100605,"old_trees",649,1003,1,9.8,0.9,127,1.3,"F","A","A","",1,1,140,"A","","","","","A",1,100,100,"","",NA,NA,NA,NA,NA,NA,NA,"b40f8255-b620-4883-9abc-72967b558f99","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:26:21 PM","shuej21","nysy",127,NA,NA,NA,"","nysy","1",747574.318668451,4308551.83010508,"EM","EM","10/10/2023 7:26:20 PM",0,-78.1455301482468,38.8909753339649,189.799920182114,40.885380627846,NA,"A",2023-10-10
"36",36,36,36,36,36,36,36,100612,"old_trees",656,1003,1,12,4.3,1230,1.4,"A;F","A","A","",1,1,1276,"A","BT,DV","DV","","DBH greater than expected (46), check measurement","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"53fdcb00-0253-4370-97a8-163b7a9e6568","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:37:09 PM","shuej21","litu",1230,NA,NA,NA,"","litu","1",747576.439284799,4308555.28017085,"EM","EM","10/10/2023 7:37:02 PM",0,-78.1455044824868,38.8910057881533,192.000004870397,44.2839928683499,NA,"A",2023-10-10
"37",37,37,37,37,37,37,37,100647,"old_trees",694,1003,1,1.7,8.6,215,1.3,"F","A","A","",1,1,222,"A","","","","","A",1,100,100,"","",0,NA,NA,NA,NA,NA,NA,"631b2748-5b99-47b4-862a-6df51bcfff2e","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:43:11 PM","shuej21","caovl",215,NA,NA,NA,"","caovl","1",747566.042331316,4308559.34013246,"EM","EM","10/10/2023 7:43:09 PM",0,-78.145622754638,38.8910452584627,181.700037856456,48.5902780954363,NA,"A",2023-10-10
"38",38,38,38,38,38,38,38,100670,"old_trees",720,1003,1,4.2,17.2,297,1.3,"F","A","A","",1,1,305,"AU","","","","","AU",1,100,100,"AN,K","K",NA,NA,NA,NA,1,NA,NA,"ee8f84f6-adef-4f4d-8ce3-02ed541cd9c4","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:54:50 PM","shuej21","cagl",297,NA,NA,NA,"","cagl","1",747568.342111899,4308567.99576491,"EM","EM","10/10/2023 7:54:48 PM",0,-78.1455931488655,38.8911225139458,184.20000402071,57.1887176080843,NA,"AU",2023-10-10
"39",39,39,39,39,39,39,39,100680,"old_trees",731,1004,1,1.6,0.9,278,1.3,"F;DS","D","","stem not sampled, info automatically filled from previous year info",1,1,0,"DS","","","","","",2,0,0,"","",0,NA,NA,NA,NA,0,NA,"6a113374-69d7-4257-8ef2-367e31b9084c","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:09:43 PM","shuej21","cagl",278,NA,NA,NA,"","cagl","1",747565.657000296,4308571.63447927,"IK","IK","10/11/2023 7:09:41 PM",0,-78.1456227600209,38.8911560200576,181.600030684183,60.890313528584,0,"",2023-10-11
"40",40,40,40,40,40,40,40,100700,"old_trees",753,1004,1,6.9,3.6,233,1.3,"F","A","AU","",1,1,232,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"86aba292-a4bb-49e8-824d-19cdb9df0deb","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:12:09 PM","shuej21","litu",233,NA,NA,NA,"","litu","1",747570.892883103,4308574.45670687,"IK","IK","10/11/2023 7:12:07 PM",0,-78.145561443732,38.89117994579,186.899977989391,63.5871142239365,NA,"A",2023-10-11
"41",41,41,41,41,41,41,41,100716,"old_trees",769,1004,1,9.5,11.3,723,1.3,"F","A","A","",1,1,749,"A","","","","","A",3,100,97,"","",0,NA,NA,NA,NA,NA,NA,"7f2a83f2-86a8-4cde-8af6-81045c969791","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:53:33 PM","shuej21","quve",723,NA,NA,NA,"","quve","1",747573.313570542,4308582.21488165,"IK","IK","10/11/2023 6:53:16 PM",0,-78.1455307689651,38.8912490897816,189.499998085892,71.2854724441968,NA,"A",2023-10-11
"42",42,42,42,42,42,42,42,100719,"old_trees",772,1004,1,1.7,10.5,359,1.3,"F","A","A","",1,1,365,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"087701b3-8540-4b09-b82e-8ab656d82468","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:08:57 PM","shuej21","litu",359,NA,NA,NA,"","litu","1",747565.534179603,4308581.23419311,"IK","IK","10/11/2023 7:08:56 PM",0,-78.1456207136538,38.8912424551362,181.699949610439,70.4902310077262,NA,"A",2023-10-11
"43",43,43,43,43,43,43,43,100720,"old_trees",774,1004,1,1.7,11.9,413,1.3,"F;M","A","A","",1,1,424,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"0a245e1a-342c-45b3-878e-6faba06a1147","3/30/2023 4:12:53 PM","shuej21","10/11/2023 7:04:39 PM","shuej21","litu",413,NA,NA,NA,"","litu","1",747565.501677471,4308582.63376648,"IK","IK","10/11/2023 7:04:38 PM",1,-78.1456205833974,38.8912550608985,181.699925337335,71.8901814885395,NA,"A",2023-10-11
"44",44,44,44,44,44,44,44,100727,"old_trees",780,1004,1,6.5,13.6,125,1.3,"F","A","A","",1,1,132,"A","","","","","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,"11ebd60e-bc6a-4627-ad1d-825ce2648979","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:55:22 PM","shuej21","litu",125,NA,NA,NA,"","litu","1",747570.261024758,4308584.44467985,"IK","IK","10/11/2023 6:55:21 PM",0,-78.1455651196313,38.8912700187432,186.500003602782,73.5872972354739,NA,"A",2023-10-11
"45",45,45,45,45,45,45,45,100754,"old_trees",810,1005,1,3.8,6.7,446,1.3,"F","A","A","",1,1,461,"AU","","","","","AU",3,100,100,"W,R","R",0,NA,1,1,NA,NA,NA,"d673a181-fce8-46a7-af8c-08fb124a9f15","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:38:06 PM","shuej21","quru",446,NA,NA,NA,"; Multiple small wounds","quru","1",747567.257778498,4308597.47863511,"IK","IK","10/11/2023 6:38:04 PM",0,-78.1455950074624,38.8913881746467,183.799944168554,86.6890446018476,NA,"AU",2023-10-11
"46",46,46,46,46,46,46,46,100769,"old_trees",826,1005,1,11,15.3,652,1.3,"F","A","A","",1,1,664,"A","","","","","A",3,92,80,"","",0,NA,NA,NA,NA,NA,NA,"ebca1cea-0a84-4ec8-a64d-62d4ace62d2f","3/30/2023 4:12:53 PM","shuej21","10/11/2023 6:26:10 PM","shuej21","quve",652,NA,NA,NA,"","quve","1",747574.256426141,4308606.24326146,"IK","IK","10/11/2023 6:26:08 PM",0,-78.145511247668,38.8914650871509,191.000041322861,95.2846021669499,NA,"A",2023-10-11
