ID,issue_name,survey_years_to_apply_fix,fix,description_of_issue
11,40873 vs 40874,"c(2014, 2015, 2016, 2017, 2018)","mort[mort$tag %in% 40873 & mort$StemTag %in% 1, ]$sp <- ""quve"" ; mort[mort$tag %in% 40873 & mort$StemTag %in% 2, ]$tag  <- 40874","## truth in 2013
## 40874 1 fagr 641.3
## 40874 2 fagr 161.8
## 40873 1 quve 325"
12,190691 dbh,"c(2016, 2017)","mort[mort$tag %in% 190691, ]$last_main_census_dbh <- 32.8",
13,203751 dbh,"c(2014, 2015, 2016, 2017)","mort[mort$tag %in% 203751, ]$last_main_census_dbh <- 14.3",
14,172262 dbh,c(2017),"mort[mort$tag %in% 172262, ]$last_main_census_dbh <- 170.7",
15,missing 172262 in 2018,c(2018),"    row_to_add <- get(paste0(""mort"",( survey_year-1))) ; row_to_add <- row_to_add[ row_to_add$tag %in% 172262, intersect(names(row_to_add), names(mort)) ] ; row_to_add$ExactDate <- unique(mort[mort$quadrat %in% 1720, ]$ExactDate) ; row_to_add$surveyor <- unique(mort[mort$quadrat %in% 1720, ]$surveyor) ; row_to_add$previous_year_status <- row_to_add$current_year_status ;row_to_add$current_year_status <- ""A"" ; mort[(nrow(mort) +1), intersect(names(row_to_add), names(mort))] <- row_to_add
    ",
16,quadrat 317,c(2014),"quadrat.317 <- scbi.stem1$quadrat %in% ""0317"" ; mort$quadrat[mort$tag %in% scbi.stem1$tag[quadrat.317]] <- ""0317""",# not quite sure what is right but will follow main census...
17,quadrat 319,"c(2014, 2015, 2016, 2017, 2018)","quadrat.319 <- scbi.stem1$quadrat %in% ""0319"" ; mort$quadrat[mort$tag %in% scbi.stem1$tag[quadrat.319]] <- ""0319""",# not quite sure what is right but will follow main census...
18,quadrat 608,"c(2017, 2018)","quadrat.608 <- scbi.stem1$quadrat %in% ""0608"" ; mort$quadrat[mort$tag %in% scbi.stem1$tag[quadrat.608]] <- ""0608""",
19,species ID issues,"c(2014, 2015, 2016, 2017, 2018, 2019)","tags_to_fix <- c(""92425"", ""12269"", ""20655"", ""30097"", ""30262"", ""32197"", ""32416"",
                 ""42175"", ""42349"", ""42522"", ""62307"", ""72059"", ""80007"", ""90268"",
                 ""90281"", ""90357"", ""91454"", ""92444"", ""100533"", ""100623"", ""100647"",
                 ""112412"", ""122117"", ""131272"", ""150278"", ""180838"", ""180973"", ""190136"",
                 ""103217"") ; for(t in tags_to_fix) {
  idx_main <- scbi.stem1$tag %in% t
  if( all(c(scbi.stem1$sp[idx_main], scbi.stem2$sp[idx_main], scbi.stem3$sp[idx_main]) %in% scbi.stem1$sp[idx_main]) & length(unique(scbi.stem1$sp[idx_main] == 1))) {
    mort$sp[mort$tag %in% t] <- unique(scbi.stem1$sp[idx_main])} else { stop(""species ID are not the same accross main censuses"")}
}",
20,status 92465,c(2016),"mort$current_year_status[mort$tag %in% 92465] <- ""PD""",
21,status 40853,c(2016),"mort$current_year_status[mort$tag %in% 40853 & mort$last_main_census_dbh %in% 297.5] <- ""AU""",
22,"Trees marked dead found live when coring seee issue
#60",c(2021),"mort$current_year_status[mort$tag %in% c(""150756"", ""60024"", ""120261"", ""80355"", ""70237"")] <- ""AU""",
