"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","surveyor","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","current_year_comment","previous_year_comment","submission_id"
2014,20478,1,"acne","Acer","negundo","0205",96,22.8,16,2.8,55.7,0.01,NA,2014-09-30,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20533,1,"caca","Carpinus","caroliniana","0206",117.3,28.6,17.3,8.6,115.1,0.04,NA,2014-09-29,"Overstreet; Sedaghatpour, Wang, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20586,1,"acru","Acer","rubrum","0208",141.7,27,1.69999999999999,7,NA,NA,NA,2014-09-29,"Overstreet; Sedaghatpour, Wang, Herrmann","DS","PD","G","X;DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20631,1,"havi","Hamamelis","virginiana","0209",175.6,31.4,15.6,11.4,100,0.03,NA,2014-09-25,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20637,1,"ulsp","Ulmus","sp","0209",173.4,22.6,13.4,2.6,NA,NA,NA,2014-09-25,"Wang","DN","PD","D","DN",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20825,1,"qual","Quercus","alba","0216",307.2,34.7,7.19999999999999,14.7,652.5,3.46,NA,2014-09-24,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,22123,1,"tiam","Tilia","americana","0220",381.1,40,1.10000000000002,0,476.6,1.41,NA,2014-09-23,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,22184,1,"caca","Carpinus","caroliniana","0222",421.7,38.7,1.69999999999999,18.7,51.5,0.01,NA,2014-09-23,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,30145,1,"frni","Fraxinus","nigra","0302",36.3,51.5,16.3,11.5,167.5,0.14,NA,2014-09-30,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"none",NA,NA,NA,"",NA,NA
2014,30362,1,"caca","Carpinus","caroliniana","0307",137.1,52.8,17.1,12.8,108.8,0.04,NA,2014-09-29,"Overstreet; Sedaghatpour, Wang, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,30560,1,"quru","Quercus","rubra","0315",295.3,46.7,15.3,6.7,569.2,2.57,NA,2014-09-22,"Sedaghatpour, Gonzalez, Overstreet","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,30613,1,"ceoc","Celtis","occidentalis","0306",115.9,44,15.9,4,82,0.02,NA,2014-09-29,"Overstreet; Sedaghatpour, Wang, Herrmann","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,32077,1,"acru","Acer","rubrum","0319",363.4,51.2,3.39999999999998,11.2,NA,NA,NA,2014-09-22,"Sedaghatpour, Gonzalez, Overstreet","A","A","G","DC",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,32128,1,"havi","Hamamelis","virginiana","0321",404.3,44.5,4.30000000000001,4.5,NA,NA,NA,2014-09-19,"Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,32285,1,"caca","Carpinus","caroliniana","0324",476.3,52.5,16.3,12.5,50.9,0.01,NA,2014-09-22,"Sedaghatpour, Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,32417,1,"litu","Liriodendron","tulipifera","0329",567.3,47.1,7.29999999999995,7.1,654.5,2.99,NA,2014-09-22,"Sedaghatpour, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40024,1,"juni","Juglans","nigra","0401",12.6,66.9,12.6,6.90000000000001,284.2,0.45,NA,2014-09-30,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40659,1,"libe","Lindera","benzoin","0409",167,73.1,7,13.1,NA,NA,NA,2014-09-26,"Gonzalez","DC","PD","D","DC;R",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40664,1,"caco","Carya","cordiformis","0409",178,79.4,18,19.4,475.6,1.62,NA,2014-09-26,"Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40705,1,"havi","Hamamelis","virginiana","0409",176.1,72,16.1,12,80.4,0.02,NA,2014-09-26,"Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40874,1,"fagr","Fagus","grandifolia","0412",233.4,75.9,13.4,15.9,641.3,3.3,NA,2014-09-29,"Wang; Sedaghatpour","A","A","A","L",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40917,1,"chvi","Chionanthus","virginicus","0412",222.2,72.8,2.19999999999999,12.8,NA,NA,0,NA,NA,"D",NA,"D","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"stem not sampled, info automatically filled from previous year info",NA,NA
2014,40969,1,"tiam","Tilia","americana","0415",286.6,64.6,6.60000000000002,4.59999999999999,304.5,0.46,NA,2014-09-18,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40982,1,"libe","Lindera","benzoin","0416",302.7,62.5,2.69999999999999,2.5,51,0.01,NA,2014-09-18,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,40991,1,"caca","Carpinus","caroliniana","0416",303.4,71.2,3.39999999999998,11.2,83,0.02,NA,2014-09-18,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,41021,1,"caca","Carpinus","caroliniana","0416",304.8,75.5,4.80000000000001,15.5,169,0.11,NA,2014-09-18,"Wang","A","A","A","I;M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,42119,1,"cato","Carya","tomentosa","0421",400.2,60.6,0.199999999999989,0.600000000000001,374,0.93,NA,2014-09-18,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,42340,1,"caca","Carpinus","caroliniana","0426",514.1,72.7,14.1,12.7,87.2,0.02,NA,2014-09-19,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,50015,1,"libe","Lindera","benzoin","0501",5,91.9,5,11.9,NA,NA,NA,2014-09-16,"Gonzalez","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,50171,1,"amar","Amelanchier","arborea","0503",47,85.3,7,5.3,NA,NA,NA,2014-09-16,"Gonzalez","DS","PD","G","DS;R",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,50414,1,"cofl","Cornus","florida","0506",117.2,95.5,17.2,15.5,NA,NA,NA,2014-09-24,"Gonzalez","DN","PD","D","DN",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,50469,1,"caco","Carya","cordiformis","0509",175.5,89.4,15.5,9.40000000000001,499.8,1.81,NA,2014-09-16,"Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,50571,1,"caca","Carpinus","caroliniana","0515",286.3,90.8,6.30000000000001,10.8,109.5,0.04,NA,2014-09-17,"Wang","A","A","A","L;M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,60200,1,"caca","Carpinus","caroliniana","0610",191.3,119,11.3,19,159.6,0.09,NA,2014-09-15,"Sedaghatpour; Wang","A","A","A","L;M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,60340,1,"amar","Amelanchier","arborea","0607",134.9,102.2,14.9,2.2,59.1,0.01,NA,2014-09-16,"Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,60445,1,"libe","Lindera","benzoin","0613",255.9,105.3,15.9,5.3,NA,NA,NA,2014-09-15,"Sedaghatpour; Wang","DC","PD","D","DC;R",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70097,1,"havi","Hamamelis","virginiana","0704",73.4,126.3,13.4,6.3,NA,NA,NA,2014-09-15,"Overstreet; Sedaghatpour, Wang","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70130,1,"havi","Hamamelis","virginiana","0705",94.2,124,14.2,4,80,0.02,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70140,1,"havi","Hamamelis","virginiana","0706",103.4,123.3,3.40000000000001,3.3,NA,NA,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70145,1,"havi","Hamamelis","virginiana","0706",107.2,128.8,7.2,8.80000000000001,NA,NA,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70281,1,"havi","Hamamelis","virginiana","0704",75.8,132.2,15.8,12.2,NA,NA,NA,2014-09-15,"Overstreet; Sedaghatpour, Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70286,1,"havi","Hamamelis","virginiana","0704",78.6,136.5,18.6,16.5,61,0.01,NA,2014-09-15,"Overstreet; Sedaghatpour, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70304,1,"havi","Hamamelis","virginiana","0705",93.1,136,13.1,16,51.3,0.01,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70313,1,"havi","Hamamelis","virginiana","0705",100,133,0,13,NA,NA,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"Dead on 2013 recensus; Alive 2014",NA,NA
2014,70338,1,"havi","Hamamelis","virginiana","0707",122.6,134.1,2.59999999999999,14.1,NA,NA,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70341,1,"havi","Hamamelis","virginiana","0707",134.7,129.7,14.7,9.69999999999999,53.8,0.01,NA,2014-09-15,"Sedaghatpour; Overstreet, Wang","A","A","A","B;M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70494,1,"caca","Carpinus","caroliniana","0714",275.7,120.4,15.7,0.400000000000006,77.3,0.02,NA,2014-09-10,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70517,1,"caca","Carpinus","caroliniana","0710",198.1,130.7,18.1,10.7,57.3,0.01,NA,2014-09-16,"Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,70609,1,"havi","Hamamelis","virginiana","0715",295.7,137.4,15.7,17.4,NA,NA,NA,2014-09-10,"Wang","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,72041,1,"cato","Carya","tomentosa","0717",338,134.3,18,14.3,133.3,0.09,NA,2014-09-11,"Herrmann, Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,80099,1,"vipr","Viburnum","prunifolium","0804",73.3,141.5,13.3,1.5,62.5,0.01,NA,2014-09-09,"Wang; Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,80129,1,"ceca","Cercis","canadensis","0802",23.6,153.7,3.6,13.7,52.3,0.01,NA,2014-09-08,"Sedaghatpour; Wolfe, Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,80267,1,"havi","Hamamelis","virginiana","0806",111.2,140.1,11.2,0.0999999999999943,66.4,0.01,NA,2014-09-09,"Wang; Gonzalez","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,80321,1,"ceca","Cercis","canadensis","0806",116.4,154.1,16.4,14.1,NA,NA,NA,2014-09-09,"Wang; Gonzalez","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,80684,1,"havi","Hamamelis","virginiana","0814",275.3,152.6,15.3,12.6,63.1,0.01,NA,2014-09-10,"Wang","A","DC","A","M;P",NA,"S",NA,NA,4,NA,NA,"B,DF",0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,90033,1,"ceca","Cercis","canadensis","0901",17.9,171.4,17.9,11.4,NA,NA,NA,2014-10-01,"Gonzalez, Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,90413,1,"litu","Liriodendron","tulipifera","0904",77.2,171.7,17.2,11.7,638.1,2.81,NA,2014-10-01,"Gonzalez, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,90505,1,"caca","Carpinus","caroliniana","0909",170.2,179.3,10.2,19.3,86.9,0.02,NA,2014-10-01,"Gonzalez, Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,90681,1,"havi","Hamamelis","virginiana","0914",277,169.4,17,9.40000000000001,77.9,0.02,NA,2014-09-30,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,90685,1,"havi","Hamamelis","virginiana","0915",284.8,172.2,4.80000000000001,12.2,54.5,0.01,NA,2014-09-30,"Wang","A","DN","A","P",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,91456,1,"litu","Liriodendron","tulipifera","0907",137.2,174.3,17.2,14.3,NA,NA,NA,2014-10-01,"Gonzalez, Wang","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92029,1,"quru","Quercus","rubra","0917",334,171.5,14,11.5,544.6,2.33,NA,2014-09-30,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92205,1,"acru","Acer","rubrum","0921",418.4,162.4,18.4,2.40000000000001,177.1,0.12,NA,2014-09-30,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92270,1,"acru","Acer","rubrum","0923",445.2,179.8,5.19999999999999,19.8,190,0.14,NA,2014-09-30,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92384,1,"litu","Liriodendron","tulipifera","0925",481.5,162.2,1.5,2.19999999999999,124.2,0.06,NA,2014-09-30,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92385,1,"cagl","Carya","glabra","0925",485.9,162.8,5.89999999999998,2.80000000000001,58.7,0.01,NA,2014-09-30,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92423,1,"nysy","Nyssa","sylvatica","0926",505.1,170,5.10000000000002,10,NA,NA,NA,2014-09-30,"Wang","DC","PD","D","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92425,1,"nysy","Nyssa","sylvatica","0926",513.5,179,13.5,19,171.2,0.11,NA,2014-09-30,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,92441,1,"divi","Diospyros","virginiana","0926",519.5,164.6,19.5,4.59999999999999,61.2,0.01,NA,2014-09-30,"Wang","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,100004,1,"vipr","Viburnum","prunifolium","1001",1.2,191.2,1.2,11.2,84.7,0.02,NA,2014-10-01,"Gonzalez, Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,100432,1,"amar","Amelanchier","arborea","1002",39.2,191.1,19.2,11.1,61.1,0.01,NA,2014-10-02,"Gonzalez, Herrmann","A","A","A","L;M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,100839,1,"nysy","Nyssa","sylvatica","1006",110.5,195.2,10.5,15.2,224.5,0.21,NA,2014-10-02,"Gonzalez, Herrmann","A","A","A","NULL",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,100888,1,"ceca","Cercis","canadensis","1007",136.1,194.1,16.1,14.1,NA,NA,NA,2014-10-02,"Gonzalez, Herrmann","DS","PD","G","DS",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,101101,1,"nysy","Nyssa","sylvatica","1010",183.1,181.2,3.09999999999999,1.19999999999999,77.8,0.01,NA,2014-10-02,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,101263,1,"havi","Hamamelis","virginiana","1015",296.1,184.7,16.1,4.69999999999999,85.2,0.02,NA,2014-10-02,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
