"Species","survey_year","dbh_class","mortality_rate","LCI_95","UCI_95","mean_dbh","N0","n_died","mean_timeint_yr"
"All","2017","(534,811]",1.67,1.02,2.41,638.05,1179,20,1.01
"All","2018","(534,811]",1.27,0.62,1.97,638.41,1160,14,0.95
"All","2019","(534,811]",0.31,0.07,0.63,643.79,1243,4,1.04
"All","2020","(534,811]",1.96,1.26,2.75,643.87,1239,25,1.03
"All","2021","(534,811]",2.63,1.58,3.66,643.55,1214,30,0.94
"All","2022","(534,811]",0.72,0.25,1.25,643.39,1183,9,1.06
"All","2013","(811,1.23e+03]",0,0,0,914.91,123,0,4.7
"All","2014","(811,1.23e+03]",1.28,0,3.33,914.91,123,2,1.27
"All","2015","(811,1.23e+03]",1.04,0,3.45,915.79,121,1,0.79
"All","2016","(811,1.23e+03]",0,0,0,916.1,120,0,0.99
"All","2017","(811,1.23e+03]",1.63,0,4.32,915.92,121,2,1.01
"All","2018","(811,1.23e+03]",2.64,0,6.19,915.52,119,3,0.95
"All","2019","(811,1.23e+03]",1.33,0,3.34,914.14,144,2,1.04
"All","2020","(811,1.23e+03]",6.91,3.33,10.73,915.01,142,10,1.02
"All","2021","(811,1.23e+03]",2.4,0,6,913.77,132,3,0.95
"All","2022","(811,1.23e+03]",4.37,0.88,8.85,912.92,128,6,1.07
"All","2013","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,4.53
"All","2014","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,1.23
"All","2015","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,0.78
"All","2016","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,1
"All","2017","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,1
"All","2018","(1.23e+03,1.87e+03]",0,0,0,1409.5,8,0,0.94
"All","2019","(1.23e+03,1.87e+03]",0,0,0,1421.67,9,0,1.05
"All","2020","(1.23e+03,1.87e+03]",0,0,0,1421.67,9,0,1.02
"All","2021","(1.23e+03,1.87e+03]",11.6,0,39.27,1421.67,9,1,0.95
"All","2022","(1.23e+03,1.87e+03]",0,0,0,1407.62,8,0,1.12
"acne","2013","[100,152]",0,0,0,124.95,4,0,4.67
"acne","2014","[100,152]",0,0,0,124.95,4,0,1.24
"acne","2015","[100,152]",0,0,0,124.95,4,0,0.8
"acne","2016","[100,152]",0,0,0,124.95,4,0,1
"acne","2017","[100,152]",0,0,0,124.95,4,0,1.01
"acne","2018","[100,152]",0,0,0,124.95,4,0,0.98
"acne","2019","[100,152]",0,0,0,138.5,2,0,1.04
"acne","2020","[100,152]",0,0,0,126.83,6,0,1.01
"acne","2021","[100,152]",0,0,0,126.83,6,0,0.89
"acne","2022","[100,152]",0,0,0,124.6,5,0,1.14
"acne","2013","(152,231]",0,0,0,225,1,0,4.84
"acne","2014","(152,231]",0,0,0,225,1,0,1.15
"acne","2015","(152,231]",0,0,0,225,1,0,0.8
"acne","2016","(152,231]",0,0,0,225,1,0,0.99
"acne","2017","(152,231]",0,0,0,225,1,0,1
"acne","2018","(152,231]",0,0,0,225,1,0,1.03
"acne","2019","(152,231]",0,0,0,158,2,0,1.04
"acne","2020","(152,231]",0,0,0,157.67,3,0,1.02
"acne","2021","(152,231]",0,0,0,157.67,3,0,0.9
"acne","2022","(152,231]",0,0,0,157.67,3,0,1.15
"acne","2013","(231,351]",0,0,0,238,1,0,4.52
"acne","2014","(231,351]",0,0,0,238,1,0,1.39
"acne","2015","(231,351]",0,0,0,238,1,0,0.75
"acne","2016","(231,351]",0,0,0,238,1,0,1
"acne","2017","(231,351]",0,0,0,238,1,0,1.05
"acne","2018","(231,351]",0,0,0,238,1,0,0.9
"acne","2019","(231,351]",0,0,0,238.5,2,0,1.01
"acne","2020","(231,351]",0,0,0,238.5,2,0,1.03
"acne","2021","(231,351]",0,0,0,238.5,2,0,0.95
"acne","2022","(231,351]",0,0,0,238.5,2,0,1.06
"acpl","2013","[100,152]",0,0,0,102.1,1,0,4.74
"acpl","2014","[100,152]",0,0,0,102.1,1,0,1.14
"acpl","2015","[100,152]",0,0,0,102.1,1,0,0.8
"acpl","2016","[100,152]",0,0,0,102.1,1,0,0.99
"acpl","2017","[100,152]",0,0,0,102.1,1,0,1.02
"acpl","2018","[100,152]",0,0,0,102.1,1,0,0.93
"acpl","2019","[100,152]",0,0,0,112,1,0,1.04
"acpl","2020","[100,152]",0,0,0,112,1,0,1.03
"acpl","2021","[100,152]",0,0,0,112,1,0,0.97
"acpl","2022","[100,152]",0,0,0,112,1,0,1.03
"acpl","2013","(152,231]",0,0,0,178.5,4,0,4.75
"acpl","2014","(152,231]",0,0,0,178.5,4,0,1.22
"acpl","2015","(152,231]",0,0,0,178.5,4,0,0.79
"acpl","2016","(152,231]",0,0,0,178.5,4,0,0.98
"acpl","2017","(152,231]",0,0,0,178.5,4,0,1.05
"acpl","2018","(152,231]",0,0,0,178.5,4,0,0.94
"acpl","2019","(152,231]",0,0,0,189.75,4,0,1.01
"acpl","2020","(152,231]",0,0,0,189.75,4,0,1.04
"acpl","2021","(152,231]",0,0,0,189.75,4,0,0.91
"acpl","2022","(152,231]",0,0,0,189.75,4,0,1.09
"acpl","2013","(231,351]",0,0,0,301.6,2,0,4.78
"acpl","2014","(231,351]",0,0,0,301.6,2,0,1.16
"acpl","2015","(231,351]",0,0,0,301.6,2,0,0.8
"acpl","2016","(231,351]",0,0,0,301.6,2,0,0.98
"acpl","2017","(231,351]",0,0,0,301.6,2,0,1.02
"acpl","2018","(231,351]",0,0,0,301.6,2,0,1.03
"acpl","2019","(231,351]",0,0,0,279,1,0,0.85
"acpl","2020","(231,351]",0,0,0,279,1,0,1.07
"acpl","2021","(231,351]",0,0,0,279,1,0,0.96
"acpl","2022","(231,351]",0,0,0,279,1,0,1.14
"acpl","2019","(351,534]",0,0,0,374,1,0,1
"acpl","2020","(351,534]",0,0,0,374,1,0,1.03
"acpl","2021","(351,534]",0,0,0,374,1,0,0.94
"acpl","2022","(351,534]",0,0,0,374,1,0,1
"acru","2013","[100,152]",0,0,0,119.67,71,0,4.73
"acru","2014","[100,152]",2.28,0,6.45,119.67,71,2,1.24
"acru","2015","[100,152]",0,0,0,119.63,69,0,0.79
"acru","2016","[100,152]",1.45,0,4.5,119.63,69,1,1
"acru","2017","[100,152]",1.44,0,4.55,119.62,68,1,1.02
"acru","2018","[100,152]",4.68,0,9.77,119.74,67,3,0.95
"acru","2019","[100,152]",1.68,0,5.82,124.46,56,1,1.06
"acru","2020","[100,152]",4.81,0,12.85,122.9,61,3,1.02
"acru","2021","[100,152]",3.77,0,9.47,123.21,58,2,0.91
"acru","2022","[100,152]",5.08,0,11.03,122.96,56,3,1.06
"acru","2013","(152,231]",0,0,0,182.89,61,0,4.69
"acru","2014","(152,231]",1.29,0,3.87,182.89,61,1,1.28
"acru","2015","(152,231]",2.1,0,7.04,183.23,60,1,0.79
"acru","2016","(152,231]",0,0,0,182.72,59,0,1
"acru","2017","(152,231]",0,0,0,182.72,59,0,1.03
"acru","2018","(152,231]",0,0,0,182.72,59,0,0.96
"acru","2019","(152,231]",0,0,0,183.92,60,0,1.05
"acru","2020","(152,231]",1.65,0,6.04,183.92,60,1,1.01
"acru","2021","(152,231]",1.92,0,6.51,184.22,58,1,0.9
"acru","2022","(152,231]",1.75,0,5.81,183.6,55,1,1.04
"acru","2013","(231,351]",0,0,0,284.54,30,0,4.67
"acru","2014","(231,351]",2.58,0,7.81,284.54,30,1,1.3
"acru","2015","(231,351]",4.32,0,14.3,282.65,29,1,0.79
"acru","2016","(231,351]",0,0,0,282.56,28,0,1
"acru","2017","(231,351]",0,0,0,282.56,28,0,1.02
"acru","2018","(231,351]",0,0,0,282.56,28,0,0.96
"acru","2019","(231,351]",0,0,0,287.79,33,0,1.03
"acru","2020","(231,351]",0,0,0,287.79,33,0,1.03
"acru","2021","(231,351]",0,0,0,287.79,33,0,0.89
"acru","2022","(231,351]",2.94,0,10.64,287.81,32,1,1.06
"acru","2013","(351,534]",0,0,0,409.8,22,0,4.63
"acru","2014","(351,534]",0,0,0,409.8,22,0,1.36
"acru","2015","(351,534]",0,0,0,409.8,22,0,0.81
"acru","2016","(351,534]",0,0,0,409.8,22,0,1
"acru","2017","(351,534]",0,0,0,409.8,22,0,1.03
"acru","2018","(351,534]",4.82,0,14.39,409.8,22,1,0.94
"acru","2019","(351,534]",0,0,0,417.55,20,0,1.05
"acru","2020","(351,534]",0,0,0,417.55,20,0,1.02
"acru","2021","(351,534]",11.32,0,22.13,417.55,20,2,0.88
"acru","2022","(351,534]",4.99,0,17.86,420.94,18,1,1.12
"acru","2013","(534,811]",0,0,0,637.8,5,0,4.53
"acru","2014","(534,811]",0,0,0,637.8,5,0,1.32
"acru","2015","(534,811]",0,0,0,637.8,5,0,0.86
"acru","2016","(534,811]",0,0,0,637.8,5,0,0.99
"acru","2017","(534,811]",0,0,0,637.8,5,0,1.02
"acru","2018","(534,811]",0,0,0,637.8,5,0,0.97
"acru","2019","(534,811]",0,0,0,639.83,6,0,0.99
"acru","2020","(534,811]",0,0,0,639.83,6,0,1.02
"acru","2021","(534,811]",0,0,0,639.83,6,0,0.9
"acru","2022","(534,811]",0,0,0,639.83,6,0,1.1
"aial","2013","[100,152]",0,0,0,132.9,1,0,4.42
"aial","2014","[100,152]",0,0,0,132.9,1,0,1.48
"aial","2015","[100,152]",0,0,0,132.9,1,0,0.82
"aial","2016","[100,152]",0,0,0,132.9,1,0,0.95
"aial","2017","[100,152]",0,0,0,132.9,1,0,0.92
"aial","2018","[100,152]",0,0,0,132.9,1,0,0.99
"aial","2013","(152,231]",0,0,0,192,1,0,4.41
"aial","2014","(152,231]",0,0,0,192,1,0,1.49
"aial","2015","(152,231]",0,0,0,192,1,0,0.81
"aial","2016","(152,231]",0,0,0,192,1,0,0.96
"aial","2017","(152,231]",0,0,0,192,1,0,0.92
"aial","2018","(152,231]",0,0,0,192,1,0,0.99
"aial","2019","(152,231]",0,0,0,191.5,2,0,0.99
"aial","2020","(152,231]",0,0,0,191.5,2,0,1.04
"aial","2021","(152,231]",48.95,48.95,48.95,191.5,2,1,1.03
"aial","2022","(152,231]",0,0,0,231,1,0,1.02
"aial","2013","(231,351]",0,0,0,314,2,0,4.47
"aial","2014","(231,351]",0,0,0,314,2,0,1.42
"aial","2015","(231,351]",0,0,0,314,2,0,0.81
"aial","2016","(231,351]",0,0,0,314,2,0,0.96
"aial","2017","(231,351]",0,0,0,314,2,0,0.92
"aial","2018","(231,351]",0,0,0,314,2,0,0.99
"aial","2019","(231,351]",0,0,0,299,1,0,0.99
"aial","2020","(231,351]",0,0,0,299,1,0,1.05
"aial","2021","(231,351]",0,0,0,299,1,0,1.01
"aial","2022","(231,351]",0,0,0,299,1,0,1.16
"aial","2019","(351,534]",0,0,0,353,1,0,0.98
"aial","2020","(351,534]",0,0,0,353,1,0,1.05
"aial","2021","(351,534]",0,0,0,353,1,0,1.08
"aial","2022","(351,534]",0,0,0,353,1,0,1.02
"amar","2013","[100,152]",0,0,0,119.33,14,0,4.71
"amar","2014","[100,152]",0,0,0,119.33,14,0,1.25
"amar","2015","[100,152]",0,0,0,119.33,14,0,0.8
"amar","2016","[100,152]",0,0,0,119.33,14,0,1
"amar","2017","[100,152]",6.92,0,24.68,119.33,14,1,1.03
"amar","2018","[100,152]",0,0,0,119.65,13,0,0.97
"amar","2019","[100,152]",0,0,0,126.23,13,0,1.03
"amar","2020","[100,152]",0,0,0,120.82,17,0,1.01
"amar","2021","[100,152]",0,0,0,120.82,17,0,0.93
"amar","2022","[100,152]",12.8,0,32.65,119.47,15,2,1.04
"amar","2013","(152,231]",0,0,0,202.85,4,0,4.66
"amar","2014","(152,231]",0,0,0,202.85,4,0,1.26
"amar","2015","(152,231]",0,0,0,202.85,4,0,0.79
"amar","2016","(152,231]",0,0,0,202.85,4,0,0.99
"amar","2017","(152,231]",0,0,0,202.85,4,0,1.03
"amar","2018","(152,231]",0,0,0,202.85,4,0,0.96
"amar","2019","(152,231]",0,0,0,203.33,3,0,1.03
"amar","2020","(152,231]",0,0,0,203.33,3,0,0.96
"amar","2021","(152,231]",0,0,0,203.33,3,0,0.96
"amar","2022","(152,231]",0,0,0,203.33,3,0,1.03
"amar","2019","(231,351]",0,0,0,237,1,0,1.03
"amar","2020","(231,351]",0,0,0,237,1,0,1.06
"amar","2021","(231,351]",0,0,0,237,1,0,1.02
"amar","2022","(231,351]",0,0,0,237,1,0,1.02
"astr","2013","[100,152]",0,0,0,110.22,4,0,4.57
"astr","2014","[100,152]",0,0,0,110.22,4,0,1.35
"astr","2015","[100,152]",0,0,0,110.22,4,0,0.76
"astr","2016","[100,152]",0,0,0,110.22,4,0,0.99
"astr","2017","[100,152]",0,0,0,110.22,4,0,1.07
"astr","2018","[100,152]",0,0,0,110.22,4,0,0.97
"astr","2019","[100,152]",0,0,0,116.5,4,0,1
"astr","2020","[100,152]",0,0,0,110.9,10,0,1.01
"astr","2021","[100,152]",0,0,0,110.9,10,0,0.93
"astr","2022","[100,152]",0,0,0,110.9,10,0,1.07
"caca","2013","[100,152]",0,0,0,117.84,206,0,4.6
"caca","2014","[100,152]",0.35,0,1.14,117.92,207,1,1.36
"caca","2015","[100,152]",0,0,0,117.91,206,0,0.78
"caca","2016","[100,152]",3.37,1.4,5.69,117.91,206,7,1.01
"caca","2017","[100,152]",5.36,2.36,9.54,118.18,199,11,1.03
"caca","2018","[100,152]",3.39,0.99,6.55,117.89,188,6,0.94
"caca","2019","[100,152]",0,0,0,123.45,155,0,1.04
"caca","2020","[100,152]",0.91,0,2.43,118.72,217,2,1.01
"caca","2021","[100,152]",2.53,0,5.51,118.78,215,5,0.92
"caca","2022","[100,152]",0.87,0,2.32,118.65,208,2,1.11
"caca","2013","(152,231]",0,0,0,171.91,39,0,4.57
"caca","2014","(152,231]",5.51,0,12.95,171.43,40,3,1.38
"caca","2015","(152,231]",0,0,0,172.18,37,0,0.78
"caca","2016","(152,231]",0,0,0,172.18,37,0,1.01
"caca","2017","(152,231]",0,0,0,172.18,37,0,1.04
"caca","2018","(152,231]",2.84,0,10.22,172.18,37,1,0.95
"caca","2019","(152,231]",0,0,0,170.94,54,0,1.04
"caca","2020","(152,231]",1.82,0,6.73,170.94,54,1,1.02
"caca","2021","(152,231]",2.11,0,7.02,171.26,53,1,0.9
"caca","2022","(152,231]",0,0,0,171.24,51,0,1.12
"caca","2013","(231,351]",0,0,0,272,1,0,4.61
"caca","2014","(231,351]",0,0,0,272,1,0,1.24
"caca","2015","(231,351]",0,0,0,272,1,0,0.75
"caca","2016","(231,351]",0,0,0,272,1,0,1.03
"caca","2017","(231,351]",0,0,0,272,1,0,0.99
"caca","2018","(231,351]",0,0,0,272,1,0,0.96
"caca","2019","(231,351]",0,0,0,260.5,2,0,1.01
"caca","2020","(231,351]",0,0,0,260.5,2,0,1
"caca","2021","(231,351]",0,0,0,260.5,2,0,1
"caca","2022","(231,351]",0,0,0,260.5,2,0,1.06
"caca","2013","(351,534]",0,0,0,472,1,0,4.58
"caca","2014","(351,534]",0,0,0,472,1,0,1.3
"caca","2015","(351,534]",0,0,0,472,1,0,0.78
"caca","2016","(351,534]",0,0,0,472,1,0,1.01
"caca","2017","(351,534]",0,0,0,472,1,0,1.04
"caca","2018","(351,534]",0,0,0,472,1,0,0.99
"caca","2019","(351,534]",0,0,0,495,1,0,0.96
"caca","2020","(351,534]",0,0,0,495,1,0,0.97
"caca","2021","(351,534]",0,0,0,495,1,0,1.17
"caca","2022","(351,534]",0,0,0,495,1,0,0.96
"caco","2013","[100,152]",0,0,0,122.26,67,0,4.68
"caco","2014","[100,152]",1.22,0,4.23,122.26,67,1,1.22
"caco","2015","[100,152]",0,0,0,122.51,66,0,0.8
"caco","2016","[100,152]",6.11,1.38,13.08,122.51,66,4,0.99
"caco","2017","[100,152]",1.6,0,5.16,122.9,62,1,1.01
"caco","2018","[100,152]",1.72,0,5.75,123.04,61,1,0.95
"caco","2019","[100,152]",0,0,0,129.41,49,0,1
"caco","2020","[100,152]",0,0,0,125.48,64,0,1.02
"caco","2021","[100,152]",3.21,0,7.6,125.48,64,2,0.97
"caco","2022","[100,152]",0,0,0,125.65,62,0,1.08
"caco","2013","(152,231]",0,0,0,193.93,67,0,4.67
"caco","2014","(152,231]",2.35,0,7.47,193.88,69,2,1.24
"caco","2015","(152,231]",1.88,0,7.11,193.34,67,1,0.79
"caco","2016","(152,231]",1.53,0,5.15,193.88,66,1,0.99
"caco","2017","(152,231]",7.51,1.69,15.35,193.94,65,5,1.02
"caco","2018","(152,231]",0,0,0,195.12,60,0,0.97
"caco","2019","(152,231]",0,0,0,191.42,57,0,1.01
"caco","2020","(152,231]",0,0,0,191.42,57,0,1.02
"caco","2021","(152,231]",1.87,0,6.13,191.42,57,1,0.94
"caco","2022","(152,231]",0,0,0,191.77,56,0,1.09
"caco","2013","(231,351]",0,0,0,285.95,43,0,4.67
"caco","2014","(231,351]",0,0,0,285.59,42,0,1.27
"caco","2015","(231,351]",0,0,0,285.59,42,0,0.79
"caco","2016","(231,351]",4.77,0,11.56,285.59,42,2,1
"caco","2017","(231,351]",7.3,0,13.62,285.01,40,3,1.03
"caco","2018","(231,351]",0,0,0,284.65,37,0,0.97
"caco","2019","(231,351]",0,0,0,277.15,46,0,1.01
"caco","2020","(231,351]",0,0,0,277.15,46,0,1.02
"caco","2021","(231,351]",2.36,0,7.09,277.15,46,1,0.92
"caco","2022","(231,351]",4.16,0,10.31,277.98,45,2,1.07
"caco","2013","(351,534]",0,0,0,426.03,46,0,4.65
"caco","2014","(351,534]",0,0,0,426.03,46,0,1.27
"caco","2015","(351,534]",2.74,0,9.18,426.03,46,1,0.79
"caco","2016","(351,534]",2.22,0,6.4,425.27,45,1,1
"caco","2017","(351,534]",6.63,0,13.34,426.18,44,3,1.03
"caco","2018","(351,534]",0,0,0,426.79,41,0,0.98
"caco","2019","(351,534]",0,0,0,428.71,42,0,1
"caco","2020","(351,534]",2.34,0,7.27,428.71,42,1,1.02
"caco","2021","(351,534]",0,0,0,430.37,41,0,0.94
"caco","2022","(351,534]",0,0,0,429.28,40,0,1.06
"caco","2013","(534,811]",0,0,0,608.71,9,0,4.72
"caco","2014","(534,811]",0,0,0,608.71,9,0,1.21
"caco","2015","(534,811]",0,0,0,608.71,9,0,0.8
"caco","2016","(534,811]",11.2,0,37.62,608.71,9,1,0.99
"caco","2017","(534,811]",12.21,0,43.24,603.65,8,1,1.03
"caco","2018","(534,811]",0,0,0,601.86,7,0,0.98
"caco","2019","(534,811]",0,0,0,604.8,10,0,0.98
"caco","2020","(534,811]",0,0,0,604.8,10,0,1.03
"caco","2021","(534,811]",10.55,0,38.93,604.8,10,1,0.94
"caco","2022","(534,811]",0,0,0,606.67,9,0,1.08
"cade","2013","[100,152]",0,0,0,137.5,1,0,4.69
"cade","2014","[100,152]",0,0,0,137.5,1,0,1.19
"cade","2015","[100,152]",0,0,0,137.5,1,0,0.81
"cade","2016","[100,152]",0,0,0,137.5,1,0,0.97
"cade","2017","[100,152]",0,0,0,137.5,1,0,0.98
"cade","2018","[100,152]",0,0,0,137.5,1,0,0.93
"cade","2019","[100,152]",0,0,0,150,1,0,1.03
"cade","2020","[100,152]",0,0,0,150,1,0,0.98
"cade","2021","[100,152]",0,0,0,150,1,0,1.12
"cade","2022","[100,152]",100,100,100,150,1,1,1.06
"cagl","2013","[100,152]",0,0,0,123.49,266,0,4.74
"cagl","2014","[100,152]",0.91,0,2.13,123.64,269,3,1.23
"cagl","2015","[100,152]",1.43,0,3.19,123.53,266,3,0.79
"cagl","2016","[100,152]",1.52,0.36,3,123.77,263,4,1
"cagl","2017","[100,152]",2.63,0.9,5,123.8,259,7,1.03
"cagl","2018","[100,152]",0.83,0,2.13,123.82,252,2,0.96
"cagl","2019","[100,152]",0,0,0,125.34,228,0,1.05
"cagl","2020","[100,152]",2.05,0.44,3.73,124.41,241,5,1.01
"cagl","2021","[100,152]",1.83,0,4.5,124.66,235,4,0.93
"cagl","2022","[100,152]",0.84,0,2.13,124.76,230,2,1.04
"cagl","2013","(152,231]",0,0,0,190.49,206,0,4.74
"cagl","2014","(152,231]",0.78,0,2.06,190.6,208,2,1.23
"cagl","2015","(152,231]",1.23,0,3.18,190.64,205,2,0.79
"cagl","2016","(152,231]",1.48,0,3.39,190.5,203,3,1
"cagl","2017","(152,231]",1.46,0,3.19,190.56,200,3,1.03
"cagl","2018","(152,231]",1.06,0,2.67,190.5,197,2,0.96
"cagl","2019","(152,231]",0,0,0,187.22,201,0,1.05
"cagl","2020","(152,231]",0.97,0,2.57,187.07,202,2,1.02
"cagl","2021","(152,231]",3.29,1.07,5.98,186.63,199,6,0.91
"cagl","2022","(152,231]",1.98,0.45,4.08,186.36,192,4,1.05
"cagl","2013","(231,351]",0,0,0,285,166,0,4.7
"cagl","2014","(231,351]",0.48,0,1.48,285,166,1,1.25
"cagl","2015","(231,351]",0.77,0,2.6,284.77,164,1,0.79
"cagl","2016","(231,351]",0.62,0,1.96,284.67,163,1,1
"cagl","2017","(231,351]",0.6,0,2,284.89,162,1,1.03
"cagl","2018","(231,351]",1.97,0,5.56,285.1,161,3,0.94
"cagl","2019","(231,351]",0.57,0,1.94,282.19,165,1,1.05
"cagl","2020","(231,351]",0.6,0,2.1,282.22,164,1,1.01
"cagl","2021","(231,351]",1.97,0,4.38,282.5,163,3,0.93
"cagl","2022","(231,351]",1.2,0,3.3,282.24,160,2,1.04
"cagl","2013","(351,534]",0,0,0,423.85,112,0,4.72
"cagl","2014","(351,534]",1.43,0,3.62,423.85,112,2,1.25
"cagl","2015","(351,534]",0,0,0,423.23,110,0,0.79
"cagl","2016","(351,534]",0,0,0,423.23,110,0,1
"cagl","2017","(351,534]",1.77,0,4.51,423.23,110,2,1.03
"cagl","2018","(351,534]",0.98,0,3.26,424.34,108,1,0.95
"cagl","2019","(351,534]",0.82,0,2.71,424.83,115,1,1.06
"cagl","2020","(351,534]",2.61,0,6.08,425.18,114,3,1.01
"cagl","2021","(351,534]",1.94,0,5.16,423.84,111,2,0.93
"cagl","2022","(351,534]",0,0,0,424.5,109,0,1.05
"cagl","2013","(534,811]",0,0,0,605.79,12,0,4.74
"cagl","2014","(534,811]",0,0,0,605.79,12,0,1.26
"cagl","2015","(534,811]",0,0,0,605.79,12,0,0.79
"cagl","2016","(534,811]",0,0,0,605.79,12,0,1
"cagl","2017","(534,811]",0,0,0,605.79,12,0,1.05
"cagl","2018","(534,811]",0,0,0,605.79,12,0,0.92
"cagl","2019","(534,811]",0,0,0,604.38,16,0,1.07
"cagl","2020","(534,811]",0,0,0,604.38,16,0,1
"cagl","2021","(534,811]",0,0,0,604.38,16,0,0.96
"cagl","2022","(534,811]",0,0,0,604.38,16,0,1.06
"cagl","2013","(811,1.23e+03]",0,0,0,993.4,1,0,4.61
"cagl","2014","(811,1.23e+03]",0,0,0,993.4,1,0,1.25
"cagl","2015","(811,1.23e+03]",0,0,0,993.4,1,0,0.75
"cagl","2016","(811,1.23e+03]",0,0,0,993.4,1,0,1.03
"cagl","2017","(811,1.23e+03]",0,0,0,993.4,1,0,0.99
"cagl","2018","(811,1.23e+03]",0,0,0,993.4,1,0,0.96
"cagl","2019","(811,1.23e+03]",0,0,0,1009,1,0,1.09
"cagl","2020","(811,1.23e+03]",0,0,0,1009,1,0,0.98
"cagl","2021","(811,1.23e+03]",0,0,0,1009,1,0,1.04
"cagl","2022","(811,1.23e+03]",0,0,0,1009,1,0,0.96
"caovl","2013","[100,152]",0,0,0,124.37,96,0,4.72
"caovl","2014","[100,152]",0,0,0,124.37,96,0,1.26
"caovl","2015","[100,152]",0,0,0,124.37,96,0,0.79
"caovl","2016","[100,152]",0,0,0,124.37,96,0,1
"caovl","2017","[100,152]",1.01,0,3.53,124.37,96,1,1.03
"caovl","2018","[100,152]",2.24,0,5.97,124.44,95,2,0.94
"caovl","2019","[100,152]",0,0,0,126.92,83,0,1.06
"caovl","2020","[100,152]",1.14,0,4.16,126.16,86,1,1.02
"caovl","2021","[100,152]",1.28,0,4.62,126.26,85,1,0.92
"caovl","2022","[100,152]",1.11,0,3.5,126.39,84,1,1.07
"caovl","2013","(152,231]",0,0,0,190.11,85,0,4.72
"caovl","2014","(152,231]",0,0,0,189.84,86,0,1.25
"caovl","2015","(152,231]",1.47,0,4.77,189.84,86,1,0.79
"caovl","2016","(152,231]",0,0,0,189.92,85,0,1
